2016-08-18_17:46:03.568 INFO  171515825 246239625 
2016-08-18_17:46:03.679 INFO  171516725 246240675 
2016-08-18_17:46:03.847 INFO  171517900 246242300 
2016-08-18_17:46:03.947 INFO  171518775 246243225 
2016-08-18_17:46:04.049 INFO  171519625 246244275 
2016-08-18_17:46:04.242 INFO  171520975 246246200 
2016-08-18_17:46:04.344 INFO  171521775 246247100 
2016-08-18_17:46:04.448 INFO  171522600 246248075 
2016-08-18_17:46:04.633 INFO  171523750 246249875 
2016-08-18_17:46:04.734 INFO  171524675 246250800 
2016-08-18_17:46:04.851 INFO  171525650 246251950 
2016-08-18_17:46:05.025 INFO  171526850 246253725 
2016-08-18_17:46:05.127 INFO  171527775 246254700 
2016-08-18_17:46:05.231 INFO  171528650 246255725 
2016-08-18_17:46:05.399 INFO  171529775 246257425 
2016-08-18_17:46:05.501 INFO  171530675 246258375 
2016-08-18_17:46:05.603 INFO  171531600 246259375 
2016-08-18_17:46:05.797 INFO  171532900 246261350 
2016-08-18_17:46:05.898 INFO  171533475 246261975 
2016-08-18_17:46:06.001 INFO  171534325 246262875 
2016-08-18_17:46:06.227 INFO  171536025 246265125 
2016-08-18_17:46:06.329 INFO  171536875 246266050 
2016-08-18_17:46:06.440 INFO  171537775 246267125 
2016-08-18_17:46:06.605 INFO  171538900 246268775 
2016-08-18_17:46:06.705 INFO  171539800 246269700 
2016-08-18_17:46:06.807 INFO  171540700 246270775 
2016-08-18_17:46:07.007 INFO  171542075 246272825 
2016-08-18_17:46:07.109 INFO  171543025 246273825 
2016-08-18_17:46:07.225 INFO  171543975 246274925 
2016-08-18_17:46:07.399 INFO  171545075 246276650 
2016-08-18_17:46:07.500 INFO  171546025 246277700 
2016-08-18_17:46:07.609 INFO  171546875 246278775 
2016-08-18_17:46:07.797 INFO  171548150 246280650 
2016-08-18_17:46:07.900 INFO  171549050 246281650 
2016-08-18_17:46:08.012 INFO  171549975 246282700 
2016-08-18_17:46:08.240 INFO  171551550 246285000 
2016-08-18_17:46:08.342 INFO  171552425 246285975 
2016-08-18_17:46:08.459 INFO  171553400 246287125 
2016-08-18_17:46:08.642 INFO  171554675 246288900 
2016-08-18_17:46:08.743 INFO  171555575 246289875 
2016-08-18_17:46:09.047 INFO  171557825 246292875 
2016-08-18_17:46:09.149 INFO  171558750 246293875 
2016-08-18_17:46:09.269 INFO  171559725 246295000 
2016-08-18_17:46:09.473 INFO  171561125 246297050 
2016-08-18_17:46:09.575 INFO  171561875 246297850 
2016-08-18_17:46:09.684 INFO  171562750 246298800 
2016-08-18_17:46:09.900 INFO  171563875 246300925 
2016-08-18_17:46:10.001 INFO  171564600 246301900 
2016-08-18_17:46:10.102 INFO  171565450 246302875 
2016-08-18_17:46:10.296 INFO  171566800 246304875 
2016-08-18_17:46:10.398 INFO  171567625 246305775 
2016-08-18_17:46:10.517 INFO  171568600 246306950 
2016-08-18_17:46:10.723 INFO  171569925 246309000 
